country,rank,births_per_day,births_per_hour,population_2026
India,1,62939,2622,1476625576
China,2,23615,984,1412914089
Nigeria,3,21114,880,242431832
Pakistan,4,18989,791,259299791
DR Congo,5,12690,529,116452162
Indonesia,6,12101,504,287886782
Ethiopia,7,11535,481,138902185
United States,8,10057,419,349035494
Bangladesh,9,9330,389,177818044
Brazil,10,6825,284,213562666
Tanzania,11,6734,281,72563780
Egypt,12,6733,281,120101175
Mexico,13,5446,227,132997658
Philippines,14,5075,211,117724471
Uganda,15,4783,199,52761469
Sudan,16,4638,193,53282719
Kenya,17,4266,178,58636412
Afghanistan,18,4164,173,45047069
Angola,19,4000,167,40215179
Yemen,20,3852,160,42961653
Mozambique,21,3624,151,36639851
Vietnam,22,3580,149,102177431
Russia,23,3322,138,143394458
Iraq,24,3286,137,48007437
South Africa,25,3197,133,65453084
Niger,26,3168,132,28814878
Iran,27,3016,126,93168497
Turkey,28,2863,119,87926082
Madagascar,29,2830,118,33522052
Ivory Coast,30,2817,117,33494346
Mali,31,2753,115,25932275
Cameroon,32,2715,113,30640817
Chad,33,2491,104,21560380
Ghana,34,2474,103,35697557
Uzbekistan,35,2449,102,37724223
Myanmar,36,2412,101,55184819
Somalia,37,2290,95,20305907
Algeria,38,2278,95,48028334
Burkina Faso,39,2048,85,24601700
Japan,40,2042,85,122427731
Zambia,41,1974,82,22521915
Malawi,42,1895,79,22785535
Germany,43,1889,79,83644258
Colombia,44,1875,78,53936226
United Kingdom,45,1856,77,69931528
France,46,1736,72,66746401
Syria,47,1711,71,26472497
Morocco,48,1681,70,38762441
Saudi Arabia,49,1555,65,35165787
Thailand,50,1550,65,71559614
Senegal,51,1518,63,19366548
Nepal,52,1484,62,29629410
Peru,53,1459,61,34922148
Argentina,54,1397,58,46003734
Zimbabwe,55,1383,58,17273580
Guinea,56,1362,57,15441993
Benin,57,1353,56,15170419
Burundi,58,1291,54,14729157
Malaysia,59,1206,50,36385115
Venezuela,60,1203,50,28633711
Rwanda,61,1121,47,14889693
Kazakhstan,62,1068,45,21083626
Guatemala,63,1041,43,18967978
Italy,64,1039,43,58926166
South Sudan,65,1002,42,12436037
Canada,66,989,41,40467728
Cambodia,67,965,40,18051219
North Korea,68,899,37,26633691
Spain,69,896,37,47850793
Sri Lanka,70,866,36,23348315
Australia,71,831,35,27227096
Togo,72,820,34,9930918
Poland,73,776,32,37843188
Ecuador,74,731,30,18444506
Tajikistan,75,716,30,10978599
Bolivia,76,716,30,12749291
Sierra Leone,77,715,30,8996745
Papua New Guinea,78,705,29,10947848
Haiti,79,703,29,12037506
Central African Republic,80,698,29,5698984
South Korea,81,683,28,51600388
Ukraine,82,663,28,39535849
Honduras,83,641,27,11184760
Jordan,84,610,25,11589532
Republic of the Congo,85,544,23,6637785
Dominican Republic,86,539,22,11609500
Mauritania,87,496,21,5461319
Romania,88,482,20,18800605
Netherlands,89,482,20,18448775
Liberia,90,479,20,5853949
Israel,91,471,20,9647689
Chile,92,463,19,19945850
Laos,93,438,18,7974017
Tunisia,94,430,18,12415138
Kyrgyzstan,95,407,17,7400465
Turkmenistan,96,407,17,7736632
Palestine,97,396,16,5692790
Paraguay,98,369,15,7095279
Nicaragua,99,359,15,7097329
Taiwan,100,336,14,23011292
Azerbaijan,101,328,14,10454855
United Arab Emirates,102,327,14,11574682
Libya,103,326,14,7539851
Eritrea,104,289,12,3682669
Belgium,105,276,12,11774642
El Salvador,106,265,11,6391253
Sweden,107,264,11,10701047
Lebanon,108,254,11,5897467
Cuba,109,253,11,10892659
Oman,110,249,10,5671458
Portugal,111,233,10,10395362
Czechia,112,228,9,10527781
Hungary,113,227,9,9585818
Gambia,114,226,9,2884079
Switzerland,115,221,9,9007798
Namibia,116,216,9,3153246
Austria,117,204,8,9107266
Panama,118,196,8,4625718
Gabon,119,190,8,2647399
Greece,120,184,8,9897115
Guinea-Bissau,121,181,8,2297808
Belarus,122,168,7,8937018
Botswana,123,167,7,2603388
Mongolia,124,164,7,3556798
Denmark,125,163,7,6023520
Bulgaria,126,162,7,6667659
Equatorial Guinea,127,159,7,1984468
New Zealand,128,159,7,5287479
Serbia,129,156,7,6641964
Lesotho,130,151,6,2389336
Norway,131,145,6,5652989
Ireland,132,144,6,5356950
Singapore,133,138,6,5905748
Costa Rica,134,137,6,5174789
Kuwait,135,135,6,5102773
Slovakia,136,131,5,5451342
Finland,137,120,5,5621739
Georgia,138,113,5,3804642
Hong Kong,139,104,4,7378602
Armenia,140,92,4,2930915
Uruguay,141,90,4,3382537
Jamaica,142,86,4,2833403
Timor-Leste,143,84,4,1436923
Qatar,144,84,4,3173559
Croatia,145,84,3,3822345
Moldova,146,82,3,2961253
Eswatini,147,80,3,1269859
Albania,148,73,3,2751025
Comoros,149,67,3,899010
Djibouti,150,67,3,1199459
Bosnia and Herzegovina,151,66,3,3114242
Solomon Islands,152,61,3,858288
Lithuania,153,59,2,2797338
Bahrain,154,54,2,1675572
Puerto Rico,155,52,2,3222688
