country,rank,deaths_per_day,deaths_per_hour,population_2026
China,1,31436,1310,1412914089
India,2,27073,1128,1476625576
United States,3,8586,358,349035494
Nigeria,4,7613,317,242431832
Indonesia,5,6153,256,287886782
Russia,6,5115,213,143394458
Pakistan,7,4556,190,259299791
Brazil,8,4288,179,213562666
Japan,9,4280,178,122427731
Germany,10,2854,119,83644258
DR Congo,11,2625,109,116452162
Bangladesh,12,2501,104,177818044
Mexico,13,2312,96,132997658
Ethiopia,14,2177,91,138902185
Philippines,15,2124,89,117724471
Vietnam,16,1904,79,102177431
United Kingdom,17,1855,77,69931528
Egypt,18,1841,77,120101175
Italy,19,1833,76,58926166
Thailand,20,1812,76,71559614
France,21,1728,72,66746401
South Africa,22,1669,70,65453084
Turkey,23,1548,65,87926082
Ukraine,24,1443,60,39535849
Myanmar,25,1407,59,55184819
Iran,26,1262,53,93168497
Spain,27,1261,53,47850793
Poland,28,1148,48,37843188
Kenya,29,1144,48,58636412
Tanzania,30,1111,46,72563780
South Korea,31,1055,44,51600388
Argentina,32,990,41,46003734
Canada,33,907,38,40467728
Sudan,34,905,38,53282719
Colombia,35,834,35,53936226
Angola,36,736,31,40215179
North Korea,37,733,31,26633691
Romania,38,701,29,18800605
Ivory Coast,39,689,29,33494346
Ghana,40,681,28,35697557
Afghanistan,41,680,28,45047069
Mozambique,42,676,28,36639851
Madagascar,43,675,28,33522052
Uganda,44,673,28,52761469
Niger,45,666,28,28814878
Chad,46,646,27,21560380
Morocco,47,627,26,38762441
Uzbekistan,48,626,26,37724223
Venezuela,49,620,26,28633711
Algeria,50,616,26,48028334
Mali,51,585,24,25932275
Taiwan,52,572,24,23011292
Cameroon,53,571,24,30640817
Nepal,54,568,24,29629410
Iraq,55,556,23,48007437
Peru,56,548,23,34922148
Yemen,57,544,23,42961653
Malaysia,58,543,23,36385115
Somalia,59,531,22,20305907
Burkina Faso,60,524,22,24601700
Australia,61,512,21,27227096
Netherlands,62,469,20,18448775
Sri Lanka,63,464,19,23348315
Kazakhstan,64,392,16,21083626
Guinea,65,374,16,15441993
Chile,66,369,15,19945850
Benin,67,355,15,15170419
Hungary,68,351,15,9585818
Zimbabwe,69,345,14,17273580
Syria,70,345,14,26472497
Greece,71,342,14,9897115
South Sudan,72,337,14,12436037
Belarus,73,326,14,8937018
Portugal,74,326,14,10395362
Cambodia,75,325,14,18051219
Malawi,76,323,13,22785535
Czechia,77,322,13,10527781
Belgium,78,317,13,11774642
Cuba,79,317,13,10892659
Zambia,80,315,13,22521915
Senegal,81,285,12,19366548
Bulgaria,82,280,12,6667659
Ecuador,83,269,11,18444506
Sweden,84,267,11,10701047
Burundi,85,265,11,14729157
Serbia,86,261,11,6641964
Haiti,87,258,11,12037506
Austria,88,256,11,9107266
Guatemala,89,256,11,18967978
Bolivia,90,251,10,12749291
Rwanda,91,237,10,14889693
Saudi Arabia,92,224,9,35165787
Tunisia,93,214,9,12415138
Switzerland,94,211,9,9007798
Togo,95,206,9,9930918
Dominican Republic,96,204,9,11609500
Papua New Guinea,97,199,8,10947848
Sierra Leone,98,198,8,8996745
Azerbaijan,99,196,8,10454855
Finland,100,168,7,5621739
Hong Kong,101,162,7,7378602
Denmark,102,162,7,6023520
Slovakia,103,156,7,5451342
Israel,104,147,6,9647689
Croatia,105,146,6,3822345
Central African Republic,106,143,6,5698984
Honduras,107,141,6,11184760
Tajikistan,108,139,6,10978599
Laos,109,135,6,7974017
El Salvador,110,132,5,6391253
Liberia,111,127,5,5853949
Turkmenistan,112,126,5,7736632
Kyrgyzstan,113,123,5,7400465
Georgia,114,123,5,3804642
Norway,115,121,5,5652989
Bosnia and Herzegovina,116,117,5,3114242
Moldova,117,115,5,2961253
Paraguay,118,113,5,7095279
Republic of the Congo,119,112,5,6637785
Lithuania,120,109,5,2797338
New Zealand,121,109,5,5287479
Jordan,122,103,4,11589532
Ireland,123,103,4,5356950
Libya,124,102,4,7539851
Lebanon,125,100,4,5897467
Puerto Rico,126,96,4,3222688
Nicaragua,127,92,4,7097329
Uruguay,128,92,4,3382537
Singapore,129,84,4,5905748
Costa Rica,130,82,3,5174789
Mauritania,131,78,3,5461319
Armenia,132,76,3,2930915
Latvia,133,75,3,1835935
Lesotho,134,66,3,2389336
Albania,135,66,3,2751025
Jamaica,136,66,3,2833403
Panama,137,64,3,4625718
Slovenia,138,61,3,2114573
Eritrea,139,59,2,3682669
Mongolia,140,58,2,3556798
North Macedonia,141,56,2,1804063
Namibia,142,53,2,3153246
Gambia,143,49,2,2884079
Gabon,144,45,2,2647399
Palestine,145,45,2,5692790
Estonia,146,45,2,1331062
Guinea-Bissau,147,44,2,2297808
Equatorial Guinea,148,42,2,1984468
Botswana,149,41,2,2603388
Trinidad and Tobago,150,38,2,1513268
Mauritius,151,33,1,1265059
United Arab Emirates,152,30,1,11574682
Oman,153,29,1,5671458
Timor-Leste,154,28,1,1436923
Eswatini,155,27,1,1269859
Cyprus,156,27,1,1382334
Djibouti,157,25,1,1199459
Kuwait,158,25,1,5102773
Fiji,159,25,1,937282
Montenegro,160,20,1,626233
Guyana,161,18,1,840890
Comoros,162,17,1,899010
Reunion,163,14,1,886298
Luxembourg,164,14,1,687448
Bhutan,165,13,1,802214
Malta,166,12,0,549011
Suriname,167,12,1,645256
Solomon Islands,168,12,0,858288
Western Sahara,169,11,0,610813
Macau,170,10,0,723188
Bahrain,171,10,0,1675572
Bahamas,172,10,0,404628
Guadeloupe,173,10,0,372453
Martinique,174,10,0,337711
Qatar,175,9,0,3173559
Cape Verde,176,8,0,529630
Barbados,177,8,0,282724
Brunei,178,7,0,469775
Iceland,179,7,0,402329
Belize,180,6,0,428644
Curacao,181,5,0,185440
New Caledonia,182,5,0,297892
Vanuatu,183,5,0,342564
Sao Tome and Principe,184,4,0,244994
Maldives,185,4,0,531517
Saint Lucia,186,4,0,180488
