year,births,deaths
1990,657200,629600
1991,630800,669900
1992,596800,697100
1993,557500,741700
1994,521600,764700
1995,492900,792600
1996,467200,776700
1997,442600,754200
1998,419200,719900
1999,389200,739200
2000,385100,758100
2001,376500,746000
2002,390700,754900
2003,408600,765400
2004,427300,761300
2005,426100,782000
2006,460400,758100
2007,472700,762900
2008,510600,754500
2009,512500,706700
2010,497700,698200
2011,502600,664600
2012,520700,663100
2013,503700,662400
2014,465900,632300
2015,411800,594800
2016,397000,583600
2017,364000,574100
2018,335900,587700
2019,308800,581100
2020,299100,616800
2021,273800,714300
2022,206000,541700
2023,187400,496200
2024,176700,495100
2025,168800,485300
