iso3,year,rate,victims
TCA,2024,103.149276343358,48
HTI,2024,64.33606564827,7574
KNA,2024,59.7741391456568,28
VCT,2024,50.687763377594,51
TTO,2024,41.5179520374802,626
LCA,2024,40.6134296928679,73
JAM,2024,40.3638380867682,1146
ZAF,2024,39.7189774932538,25423
ECU,2024,38.9402484715387,7062
BHS,2024,29.9040826548845,120
BLZ,2022,28.0582917218107,113
MAF,2016,26.8997982515131,10
MEX,2024,25.6378892147758,33550
COL,2024,24.3541040593574,12880
HND,2024,23.9153049037414,2589
GTM,2024,22.7584390807546,4189
LSO,2024,22.2039447297183,519
BRA,2024,18.6911635044563,39625
DMA,2024,18.1255192206027,12
CRI,2024,17.1153100151855,878
NGA,2023,15.7466808233499,35884
IRQ_C,2021,15.3974059474885,5459
PRI,2024,15.205705748312,493
GUY,2024,14.07795698763,117
VEN,2023,13.812304038599,3909
SWZ,2024,13.6785531952899,170
GRD,2023,13.6657527694502,16
GUF,2020,13.3880898304997,38.69901
BWA,2023,12.9825910308439,322
ATG,2024,12.7970652063793,12
PAN,2024,12.7779904982243,577
URY,2024,11.2797912352774,382
PLW,2018,11.2268096213758,2
NAM,2021,11.2077806904171,315
DOM,2024,9.11830936393492,1042
UGA,2024,8.81933788286006,4411
PER,2021,8.60480803979216,2853
SYC,2022,7.96669919735506,10
RUS,2024,7.82141065835721,11327
BRB,2024,7.43448361315904,21
CPV,2020,6.99464423976475,36
PRY,2024,6.88395825579259,477
CMR,2022,6.76008919336955,1868
ZWE,2022,6.75833125350771,1086
WSM,2018,6.26258538794308,13
BMU,2023,6.18257133141674,4
CHL,2024,6.10682496379986,1207
USA,2023,5.76340794073065,19796
GLP,2016,5.68415615612647,23
BDI,2016,5.64974214487878,635
MNG,2024,5.6394114295908,196
NIC,2023,5.45165735512843,372
GRL,2016,5.35131374752502,3
ZMB,2015,5.20150860823759,853
TUN,2020,4.69348024650292,562
KEN,2024,4.64976623716666,2624
CUB,2019,4.46315139638841,500
CYM,2020,4.3677976836113,3
PAK,2024,4.32882404941659,10877
GUM,2019,4.32611490161179,7
PHL,2024,4.31184545651845,4995
SUR,2024,4.25578195264733,27
AFG,2023,4.22388154644047,1751
AGO,2016,4.09826656345614,1196
TLS,2015,4.06594633033822,49
ARG,2024,3.94343865969129,1802
