#,region,flag,country,GDP,world share
1,America,🇺🇸,United States,"27,720.70 ",26.11%
2,Asia,🇨🇳,China,"17,794.80 ",16.76%
3,Europe,🇩🇪,Germany,"4,525.70 ",4.26%
4,Asia,🇯🇵,Japan,"4,204.49 ",3.96%
5,Asia,🇮🇳,India,"3,567.55 ",3.36%
6,Europe,🇬🇧,United Kingdom,"3,380.85 ",3.18%
7,Europe,🇫🇷,France,"3,051.83 ",2.87%
8,Europe,🇮🇹,Italy,"2,300.94 ",2.17%
9,America,🇧🇷,Brazil,"2,173.67 ",2.05%
10,America,🇨🇦,Canada,"2,142.47 ",2.02%
11,Europe,🇷🇺,Russian Federation,"2,021.42 ",1.90%
12,America,🇲🇽,Mexico,"1,789.11 ",1.69%
13,Australia and New Zealand,🇦🇺,Australia,"1,728.06 ",1.63%
14,Asia,🇰🇷,South Korea,"1,712.79 ",1.61%
15,Europe,🇪🇸,Spain,"1,620.09 ",1.53%
16,Asia,🇮🇩,Indonesia,"1,371.17 ",1.29%
17,Europe,🇳🇱,Netherlands,"1,154.36 ",1.09%
18,Asia,🇹🇷,Turkey,"1,118.25 ",1.05%
19,Asia,🇸🇦,Saudi Arabia,"1,067.58 ",1.01%
20,Europe,🇨🇭,Switzerland,884.94 ,0.83%
21,Europe,🇵🇱,Poland,809.20 ,0.76%
22,America,🇦🇷,Argentina,646.08 ,0.61%
23,Europe,🇧🇪,Belgium,644.78 ,0.61%
24,Europe,🇸🇪,Sweden,584.96 ,0.55%
25,Europe,🇮🇪,Ireland,551.40 ,0.52%
26,Asia,🇹🇭,Thailand,514.97 ,0.49%
27,Asia,🇦🇪,United Arab Emirates,514.13 ,0.48%
28,Asia,🇮🇱,Israel,513.61 ,0.48%
29,Europe,🇦🇹,Austria,511.69 ,0.48%
30,Asia,🇸🇬,Singapore,501.43 ,0.47%
31,Europe,🇳🇴,Norway,485.31 ,0.46%
32,Asia,🇧🇩,Bangladesh,437.42 ,0.41%
33,Asia,🇵🇭,Philippines,437.15 ,0.41%
34,Asia,🇻🇳,Vietnam,429.72 ,0.40%
35,Europe,🇩🇰,Denmark,407.09 ,0.38%
