rank,country,gdp_label,gdp_usd,gdp_per_capita_usd
1,United States,$29.3 trillion,29298013000000,86170
2,China,$18.73 trillion,18729668435848,13293
3,Germany,$4.69 trillion,4685592577805,56104
4,Japan,$4.19 trillion,4190008188359,33797
5,India,$3.76 trillion,3760813470501,2592
6,United Kingdom,$3.7 trillion,3695539513534,53341
7,France,$3.16 trillion,3160442622465,46103
8,Italy,$2.38 trillion,2383435562458,40430
9,Canada,$2.27 trillion,2270076189683,55016
10,Russia,$2.19 trillion,2186462268813,14962
11,Brazil,$2.19 trillion,2185821610689,10311
12,South Korea,$1.88 trillion,1875388209407,36239
13,Mexico,$1.83 trillion,1830489311089,13988
14,Australia,$1.76 trillion,1757022451653,64610
15,Spain,$1.73 trillion,1725671652742,35327
16,Indonesia,$1.4 trillion,1396301788462,4925
17,Turkey,$1.36 trillion,1359123768774,15893
18,Saudi Arabia,$1.25 trillion,1254140800000,35528
19,Netherlands,$1.21 trillion,1213936238063,67465
20,Switzerland,$969.92 billion,969919786395,107702
21,Poland,$917.77 billion,917767106147,25104
22,Taiwan,$801.5 billion (IMF),801495000000,34252
23,Belgium,$670.98 billion,670983130619,56582
24,Argentina,$638.37 billion,638365455340,13970
25,Ireland,$609.16 billion,609157459747,112895
26,Sweden,$604.83 billion,604827393489,57223
27,Singapore,$572.88 billion,572877260178,94897
28,United Arab Emirates,$552.32 billion,552324919096,50274
29,Israel,$542.28 billion,542284494491,54217
30,Austria,$534.79 billion,534790720467,58269
31,Thailand,$529.39 billion,529385520942,7387
32,Norway,$500.89 billion,500886328034,89889
33,Vietnam,$476.32 billion,476324572784,4717
34,Iran,$475.25 billion,475252089215,5190
35,Philippines,$461.67 billion,461671157905,3985
36,Bangladesh,$450.12 billion,450119432069,2593
37,Denmark,$424.52 billion,424524722037,71026
38,Malaysia,$422.23 billion,422227005429,11874
39,Colombia,$420.5 billion,420504033143,7951
40,Hong Kong,$408.37 billion,408368682415,54275
41,South Africa,$401.14 billion,401144998374,6267
42,Egypt,$389.06 billion,389059910593,3338
43,Romania,$382.56 billion,382564217989,20080
44,Pakistan,$371.75 billion,371747087751,1479
45,Czech Republic (Czechia),$347.08 billion,347082562221,31828
46,Chile,$329.26 billion,329260633699,16659
47,Portugal,$313.66 billion,313656884871,29328
48,Finland,$298.73 billion,298729432712,53156
49,Peru,$291.75 billion,291751523019,8526
50,Kazakhstan,$291.48 billion,291480274649,14155
51,Iraq,$279.64 billion,279641257615,6074
52,Algeria,$269.32 billion,269322281665,5753
53,New Zealand,$261.5 billion,261497198364,49432
54,Greece,$256.24 billion,256238371778,24626
55,Nigeria,$252.26 billion,252261880140,1084
56,Hungary,$222.85 billion,222848211034,23305
57,Qatar,$216.29 billion,216294505495,75685
58,Cuba,"$201.99 billion (UN, 2023)",201985998168,18329
59,Ukraine,$190.83 billion,190833835445,5392
60,Kuwait,$160.9 billion,160903106639,32856
61,Morocco,$160.61 billion,160610994055,4153
62,Ethiopia,$149.74 billion,149740297952,1134
63,Slovakia,$140.93 billion,140934076532,25993
64,Puerto Rico,$126.03 billion,126029527034,39353
65,Dominican Republic,$124.28 billion,124282245639,10876
66,Ecuador,$123.8 billion,123802374000,6827
67,Uzbekistan,$121.36 billion,121356065241,3337
68,Venezuela,$120.57 billion,120566112397,4244
69,Kenya,$120.4 billion,120397537850,2133
70,Bulgaria,$113.35 billion,113349149167,17597
71,Guatemala,$113.22 billion,113215575151,6151
72,Oman,$107.14 billion,107137198700,20285
73,Angola,$103.08 billion,103080538044,2721
74,Sri Lanka,$99.62 billion,99616111266,4545
75,Costa Rica,$96.72 billion,96715644331,18853
76,Luxembourg,$93.28 billion,93279851863,137782
77,Croatia,$92.98 billion,92981894168,24050
78,Serbia,$90.09 billion,90088366320,13678
79,Côte d'Ivoire,$87.11 billion,87113179149,2728
80,Panama,$86.52 billion,86523959100,19161
81,Lithuania,$85.5 billion,85503938574,29604
