iso2,iso3,year,value
LU,LUX,2024,156079.3685607
SG,SGP,2024,153161.175431382
IE,IRL,2024,140779.203379453
MO,MAC,2024,127144.298137913
QA,QAT,2024,126712.582876079
BM,BMU,2024,118727.973294368
NO,NOR,2024,105657.0339185
CH,CHE,2024,97467.7447151829
KY,CYM,2024,92201.086358256
BN,BRN,2024,90009.8912498003
US,USA,2024,86169.6641581914
NL,NLD,2024,85218.3689343246
IS,ISL,2024,83561.4294628375
FO,FRO,2024,82089.2832575392
DK,DNK,2024,80937.8001363997
GY,GUY,2024,80271.4254322872
AE,ARE,2024,79343.7793099888
AT,AUT,2024,75774.4136543206
AD,AND,2024,75394.8581564469
HK,HKG,2024,75341.6985534061
BE,BEL,2024,74224.5510568017
DE,DEU,2024,73957.0012170966
AU,AUS,2024,72117.8826659555
SA,SAU,2024,71936.2510663399
SE,SWE,2024,71221.9379308266
MT,MLT,2024,70062.9017440762
BH,BHR,2024,67230.1000247874
CA,CAN,2024,65482.9454728344
FI,FIN,2024,65137.1816928289
CY,CYP,2024,63006.765625
GB,GBR,2024,62839.4679324927
FR,FRA,2024,62524.5434134804
IT,ITA,2024,62292.9012423008
KR,KOR,2024,61051.3492502498
ES,ESP,2024,58063.7350840487
CZ,CZE,2024,57625.0961715706
SI,SVN,2024,57570.5904042272
IL,ISR,2024,57277.8631217651
NZ,NZL,2024,55793.9990422226
LT,LTU,2024,55699.3734421294
JP,JPN,2024,54156.2687689605
SX,SXM,2024,53846.7442635227
KW,KWT,2024,53119.3783662664
PT,PRT,2024,52512.5651003677
AW,ABW,2024,51712.1531358934
PL,POL,2024,51262.5105756884
EE,EST,2024,50395.7686402966
PR,PRI,2024,50332.9848222477
HR,HRV,2024,49550.8073348367
RO,ROU,2024,49076.7137157187
HU,HUN,2024,48540.1614792293
SK,SVK,2024,47846.6169154961
RU,RUS,2024,47686.06640625
TR,TUR,2024,45122.9317187258
GR,GRC,2024,44170.9556658376
LV,LVA,2024,43873.3777849582
BG,BGR,2024,41969.595471884
