year,rank,brand,value_bn,change
2025,1,Apple,470.9,-3.7
2025,2,Microsoft,388.5,+10.2
2025,3,Amazon,319.9,+7.3
2025,4,Google,317.1,+8.9
2025,5,Samsung,90.5,-10.0
2025,6,Toyota,74.2,+2.0
2025,7,Coca-Cola,60.1,-1.9
2025,8,Instagram,57.3,+27.0
2025,9,McDonald's,53.0,+0.1
2025,10,Mercedes-Benz,50.1,-15.0
2025,11,Cisco,48.7,+7.0
2025,12,Louis Vuitton,48.4,-4.9
2025,13,YouTube,48.4,+60.7
2025,14,BMW,46.8,-10.0
2025,15,NVIDIA,43.2,+115.9
2025,16,Oracle,42.1,+11.6
2025,17,Disney,41.4,-3.3
2025,18,SAP,41.3,+12.2
2025,19,Facebook,41.3,+18.2
2025,20,Adobe,41.0,+3.9
2025,21,Hermès,40.9,+17.8
2025,22,IBM,39.4,+5.6
2025,23,Nike,33.7,-25.9
2025,24,Chanel,30.5,-8.3
2025,25,Tesla,29.5,-35.2
2025,26,J.P. Morgan,29.2,+7.7
2025,27,Allianz,28.2,+19.9
2025,28,Netflix,28.0,+42.3
2025,29,Honda,24.8,-7.3
2025,30,Hyundai,24.6,+6.9
2025,31,BlackRock,23.7,NEW
2025,32,Booking.com,23.5,NEW
2025,33,Visa,23.0,+8.9
2025,34,Sony,22.3,+7.2
2025,35,IKEA,22.2,-8.6
2025,36,MasterCard,21.1,+14.0
2025,37,Accenture,20.9,-4.5
2025,38,Pepsi,20.3,-3.2
2025,39,Qualcomm,20.1,NEW
2025,40,PayPal,19.8,+8.0
2025,41,Zara,19.4,+9.1
2025,42,Salesforce,19.2,+12.5
2025,43,AXA,18.3,+8.9
2025,44,GE Aerospace,18.2,NEW
2025,45,Airbnb,17.9,+3.6
2025,46,UPS,17.9,-10.4
2025,47,UNIQLO,17.7,NEW
2025,48,Siemens,17.6,+11.7
2025,49,adidas,17.4,+12.4
2025,50,LEGO,16.6,+18.4
2025,51,Dell,16.3,NEW
2025,52,Audi,15.4,-10.7
2025,53,Nintendo,15.4,+34.2
2025,54,Ferrari,15.4,+17.8
2025,55,Goldman Sachs,15.3,+6.4
2025,56,Volkswagen,15.0,-9.1
2025,57,Porsche,15.0,-13.9
2025,58,Spotify,14.9,+19.9
2025,59,L'Oréal Paris,14.7,-0.9
2025,60,Pampers,13.8,-4.9
2025,61,eBay,13.7,+5.9
2025,62,Citi,13.1,-9.4
2025,63,Nescafé,12.9,-4.6
2025,64,Uber,12.8,+38.6
2025,65,Schneider Electric,12.7,NEW
2025,66,Budweiser,12.0,+0.3
2025,67,HP,12.0,+3.2
2025,68,H&M,11.9,-12.7
2025,69,Gucci,11.6,-35.0
2025,70,Monster,11.5,NEW
2025,71,Intel,11.5,-41.7
2025,72,HSBC,11.5,-8.2
2025,73,Cartier,11.2,+5.4
2025,74,Philips,10.6,-3.3
2025,75,LinkedIn,10.4,+9.3
2025,76,Colgate,10.4,-3.2
2025,77,Santander,10.3,+3.4
2025,78,Gillette,10.2,+1.0
2025,79,Nestlé,9.8,-13.7
2025,80,Corona,9.7,+11.9
2025,81,Xiaomi,9.5,+18.4
2025,82,Nissan,9.4,-32.5
2025,83,Dior,9.3,-10.1
2025,84,Caterpillar,9.2,+6.1
2025,85,Nasdaq,9.2,NEW
2025,86,Prada,9.0,+8.4
2025,87,3M,8.9,+0.5
2025,88,John Deere,8.8,NEW
2025,89,Kia,8.5,+5.5
2025,90,BYD,8.1,NEW
2025,91,Danone,8.1,-3.7
2025,92,FedEx,7.8,-6.2
2025,93,Sephora,7.7,+6.8
2025,94,Tiffany & Co.,7.6,+4.3
2025,95,Pandora,7.6,+6.7
2025,96,Huawei,7.6,+11.1
2025,97,Range Rover,7.2,+8.8
2025,98,Nespresso,7.0,+5.2
2025,99,Shopify,6.9,NEW
2025,100,DHL,6.9,-5.7
2024,1,Apple,488.9,-2.7
2024,2,Microsoft,352.5,+11.3
2024,3,Amazon,298.1,+7.6
2024,4,Google,291.3,+11.9
2024,5,Samsung,100.6,+10.1
2024,6,Toyota,72.8,+12.9
2024,7,Coca-Cola,61.2,+5.4
2024,8,Mercedes-Benz,58.9,-4.1
2024,9,McDonald's,53.0,+3.9
2024,10,BMW,52.0,+1.6
2024,11,Louis Vuitton,50.9,+9.4
2024,12,Tesla,45.5,-8.9
2024,13,Cisco,45.5,+5.0
2024,14,Nike,45.4,-15.6
2024,15,Instagram,45.1,+14.6
2024,16,Disney,42.8,-11.3
2024,17,Adobe,39.4,+12.6
2024,18,Oracle,37.7,+8.9
2024,19,IBM,37.3,+6.8
2024,20,SAP,36.8,+11.3
2024,21,Facebook,34.9,+10.4
2024,22,Hermès,34.7,+14.9
2024,23,Chanel,33.2,+7.1
2024,24,YouTube,30.1,+15.6
2024,25,J.P. Morgan,27.1,+4.7
2024,26,Honda,26.7,+9.4
2024,27,American Express,26.7,+10.8
2024,28,IKEA,24.3,+5.9
2024,29,Allianz,23.5,+12.7
2024,30,Hyundai,23.0,+12.7
2024,31,Accenture,21.9,+2.7
2024,32,Visa,21.1,+13.4
2024,33,Pepsi,21.0,+6.2
2024,34,Sony,20.8,+9.1
2024,35,UPS,20.0,-1.8
2024,36,NVIDIA,20.0,NEW
2024,37,Intel,19.7,-30.4
2024,38,Netflix,19.7,+10.0
2024,39,MasterCard,18.5,NEW
2024,40,PayPal,18.3,+2.8
2024,41,Gucci,17.9,-10.4
2024,42,Zara,17.8,+7.9
2024,43,Porsche,17.4,+7.3
2024,44,Airbnb,17.3,+5.8
2024,45,Audi,17.3,+5.8
2024,46,Salesforce,17.1,-6.6
2024,47,GE,17.1,+11.7
2024,48,AXA,16.8,+2.4
2024,49,Volkswagen,16.5,+9.0
2024,50,Siemens,15.8,+8.3
2024,51,adidas,15.5,-6.4
2024,52,Starbucks,15.3,-0.7
2024,53,L'Oréal Paris,14.8,+8.5
2024,54,Pampers,14.5,+5.3
2024,55,Citi,14.5,+6.4
2024,56,Ford,14.4,-3.1
2024,57,Goldman Sachs,14.4,+1.3
2024,58,LEGO,14.0,+7.1
2024,59,Nissan,13.9,+9.7
2024,60,H&M,13.6,-0.4
2024,61,Nescafé,13.5,-8.9
2024,62,Ferrari,13.1,+21.0
2024,63,eBay,12.9,+1.2
2024,64,HSBC,12.5,+6.5
2024,65,Spotify,12.4,+11.6
2024,66,Morgan Stanley,12.4,+9.0
2024,67,Budweiser,12.0,-7.6
2024,68,HP,11.6,-2.0
2024,69,Nintendo,11.5,+9.5
2024,70,Nestlé,11.3,-0.6
2024,71,Philips,11.0,-1.9
2024,72,Colgate,10.7,+2.6
2024,73,Cartier,10.6,+7.4
2024,74,Dior,10.4,+7.6
2024,75,Gillette,10.1,-3.3
2024,76,Santander,10.0,+4.1
2024,77,LinkedIn,9.5,+10.5
2024,78,Uber,9.2,NEW
2024,79,3M,8.9,-9.1
2024,80,Corona,8.7,+7.6
2024,81,Caterpillar,8.7,+7.9
2024,82,Danone,8.4,-8.2
2024,83,Prada,8.3,+13.4
2024,84,FedEx,8.3,+2.9
2024,85,Kellogg's,8.2,-7.5
2024,86,Kia,8.1,+14.7
2024,87,Xiaomi,8.0,+10.1
2024,88,DHL,7.3,-5.3
2024,89,Tiffany & Co.,7.3,+3.8
2024,90,Sephora,7.2,+13.8
2024,91,Pandora,7.1,NEW
2024,92,Hewlett Packard Enterprise,6.8,+2.4
2024,93,Huawei,6.8,+4.4
2024,94,Nespresso,6.7,+8.6
2024,95,KFC,6.7,+4.8
2024,96,Range Rover,6.6,NEW
2024,97,LG,6.5,NEW
2024,98,Panasonic,6.4,-4.5
2024,99,Jordan,6.4,NEW
2024,100,Heineken,6.3,+3.9
2023,1,Apple,502.7,+4.2
2023,2,Microsoft,316.7,+13.8
2023,3,Amazon,276.9,+0.8
2023,4,Google,260.3,+3.4
2023,5,Samsung,91.4,+4.2
2023,6,Toyota,64.5,+7.9
2023,7,Mercedes-Benz,61.4,+9.5
2023,8,Coca-Cola,58.0,+0.9
2023,9,Nike,53.8,+6.9
2023,10,BMW,51.2,+10.4
2023,11,McDonald's,51.0,+4.8
2023,12,Tesla,49.9,+4.0
2023,13,Disney,48.3,-4.1
2023,14,Louis Vuitton,46.5,+4.6
2023,15,Cisco,43.3,+5.0
2023,16,Instagram,39.3,+7.7
2023,17,Adobe,35.0,+14.1
2023,18,IBM,34.9,+2.0
2023,19,Oracle,34.6,NEW
2023,20,SAP,33.1,+5.0
2023,21,Facebook,31.6,-8.4
2023,22,Chanel,31.0,+6.0
2023,23,Hermès,30.2,+10.2
2023,24,Intel,28.3,-14.0
2023,25,YouTube,26.0,+7.3
2023,26,J.P. Morgan,25.9,+6.3
2023,27,Honda,24.4,+6.9
2023,28,American Express,24.1,+8.9
2023,29,IKEA,22.9,+4.6
2023,30,Accenture,21.3,+4.4
2023,31,Allianz,20.9,+11.5
2023,32,Hyundai,20.4,+17.9
