country,total_area_km2,land_area_km2
Russia,17098242,16376870
Canada,9984670,9093510
China,9706961,9388211
United States,9372610,9147420
Brazil,8515767,8358140
Australia,7692024,7682300
India,3287590,2973190
Argentina,2780400,2736690
Kazakhstan,2724900,2699700
Algeria,2381741,2381740
DR Congo,2344858,2267050
Greenland,2166086,410450
Saudi Arabia,2149690,2149690
Mexico,1964375,1943950
Indonesia,1904569,1811570
Sudan,1886068,1765048
Libya,1759540,1759540
Iran,1648195,1628550
Mongolia,1564110,1553560
Peru,1285216,1280000
Chad,1284000,1259200
Niger,1267000,1266700
Angola,1246700,1246700
Mali,1240192,1220190
South Africa,1221037,1213090
Colombia,1141748,1109500
Ethiopia,1104300,1000000
Bolivia,1098581,1083300
Mauritania,1030700,1030700
Egypt,1002450,995450
Tanzania,945087,885800
Nigeria,923768,910770
Venezuela,916445,882050
Pakistan,881912,770880
Namibia,825615,823290
Mozambique,801590,786380
Turkey,783562,769630
Chile,756102,743532
Zambia,752612,743390
Myanmar,676578,653290
Afghanistan,652230,652860
Somalia,637657,627340
Central African Republic,622984,622980
South Sudan,619745,610952
Ukraine,603500,579320
Madagascar,587041,581795
Botswana,582000,566730
Kenya,580367,569140
France,551695,547557
Yemen,527968,527970
Thailand,513120,510890
Spain,505992,498800
Turkmenistan,488100,469930
Cameroon,475442,472710
Papua New Guinea,462840,452860
Sweden,450295,410340
Uzbekistan,447400,425400
Morocco,446550,446300
Iraq,438317,434320
Paraguay,406752,397300
Zimbabwe,390757,386850
Japan,377930,364555
Germany,357114,348560
Philippines,342353,298170
Congo,342000,341500
Finland,338424,303890
Vietnam,331212,310070
Malaysia,330803,328550
Norway,323802,365268
Côte d'Ivoire,322463,318000
Poland,312679,306230
Oman,309500,309500
Italy,301336,294140
Ecuador,276841,248360
Burkina Faso,272967,273600
New Zealand,270467,263310
Gabon,267668,257670
Western Sahara,266000,266000
Guinea,245857,245720
United Kingdom,242900,241930
Uganda,241550,199810
Ghana,238533,227540
Romania,238391,230170
Laos,236800,230800
Guyana,214969,196850
Belarus,207600,202910
Kyrgyzstan,199951,191800
Senegal,196722,192530
Syria,185180,183630
Cambodia,181035,176520
Uruguay,181034,175020
Suriname,163820,156000
Tunisia,163610,155360
Bangladesh,147570,130170
Nepal,147181,143350
Tajikistan,143100,139960
Greece,131990,128900
Nicaragua,130373,120340
North Korea,120538,120410
Malawi,118484,94280
Eritrea,117600,101000
Benin,112622,112760
Honduras,112492,111890
Liberia,111369,96320
Bulgaria,110879,108560
Cuba,109884,106440
Guatemala,108889,107160
Iceland,103000,100250
South Korea,100210,97230
Hungary,93028,90530
Portugal,92090,91590
Jordan,89342,88780
Serbia,88361,87460
Azerbaijan,86600,82658
Austria,83871,82409
United Arab Emirates,83600,83600
French Guiana,83534,82200
Czechia,78865,77240
Panama,75417,74340
Sierra Leone,71740,72180
Ireland,70273,68890
Georgia,69700,69490
Sri Lanka,65610,62710
Lithuania,65300,62674
Latvia,64559,62200
Togo,56785,54390
Croatia,56594,55960
Bosnia and Herzegovina,51209,51000
Costa Rica,51100,51060
Slovakia,49037,48088
