note,text
1,"Including Agalega, Rodrigues and Saint Brandon."
2,"For statistical purposes, the data for France do not include this area."
3,Including Zanzibar.
4,"Including Ascension and Tristan da Cunha. For statistical purposes, the data for United Kingdom do not include this area."
5,"For statistical purposes, the data for China do not include Hong Kong and Macao, Special Administrative Regions (SAR) of China, and Taiwan Province of China."
6,"As of 1 July 1997, Hong Kong became a Special Administrative Region (SAR) of China. For statistical purposes, the data for China do not include this area."
7,"As of 20 December 1999, Macao became a Special Administrative Region (SAR) of China. For statistical purposes, the data for China do not include this area."
8,"For statistical purposes, the data for China do not include this area."
9,Including Sabah and Sarawak.
10,Including Nagorno-Karabakh.
11,Refers to the whole country.
12,Including Abkhazia and South Ossetia.
13,Including East Jerusalem.
14,Including Transnistria.
15,Including Crimea.
16,"For statistical purposes, the data for Denmark do not include Faroe Islands, and Greenland."
17,"For statistical purposes, the data for Denmark do not include this area."
18,Including Åland Islands.
19,"For statistical purposes, the data for United Kingdom do not include this area."
20,Including Svalbard and Jan Mayen Islands.
21,"Refers to the United Kingdom of Great Britain and Northern Ireland. For statistical purposes, the data for United Kingdom do not include Anguilla, Bermuda, British Virgin Islands, Cayman Islands, Falkland Islands (Malvinas), Gibraltar, Guernsey, Isle of Man, Jersey, Montserrat, Saint Helena, Turks and Caicos Islands."
22,Refers to the Vatican City State.
23,"Refers to Kosovo (United Nations administered region under security council resolution 1244). For statistical purposes, the data for Serbia do not include this area."
24,"For statistical purposes, the data for Serbia do not include Kosovo (United Nations administered region under security council resolution 1244)."
25,"Including Canary Islands, Ceuta and Melilla."
26,"For statistical purposes, the data for France do not include French Guiana, French Polynesia, Guadeloupe, Martinique, Mayotte, New Caledonia, Réunion, Saint Pierre and Miquelon, Saint Barthélemy, Saint Martin (French part), Wallis and Futuna Islands."
27,"For statistical purposes, the data for Netherlands do not include Aruba, Bonaire, Sint Eustatius and Saba, Curaçao, and Sint Maarten (Dutch part)."
29,"For statistical purposes, the data for Netherlands do not include this area."
30,"For statistical purposes, the data for United States of America do not include this area."
31,"A dispute exists between the Governments of Argentina and the United Kingdom of Great Britain and Northern Ireland concerning sovereignty over the Falkland Islands (Malvinas). For statistical purposes, the data for United Kingdom do not include this area."
32,"For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands."
33,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
34,"For statistical purposes, the data for New Zealand do not include Cook Islands, Niue, and Tokelau."
36,"For statistical purposes, the data for New Zealand do not include this area."
