rank,economy_as_published,iso2,with_iso2,robots_per_10000
1,Rep. of Korea,KR,,1220
2,Singapore,SG,,818
3,Germany,DE,,449
4,Japan,JP,,446
5,Sweden,SE,,377
6,Denmark,DK,,329
7,Slovenia,SI,,315
8,United States,US,,307
9,Chinese Taipei,TW,,302
10,Switzerland,CH,,294
11,Netherlands,NL,,293
12,Austria,AT,,272
13,Canada,CA,,241
14,Italy,IT,,237
15,Belgium and Luxembourg,BE,LU,232
16,Czech Republic,CZ,,216
17,Slovakia,SK,,210
18,France,FR,,195
19,Finland,FI,,183
20,Spain,ES,,183
21,Hungary,HU,,172
22,China,CN,,166
,World,,,132
