,Country,Australia*,Austria,Belgium*,Canada,Denmark,Estonia*,Finland*,France,Germany*,Greece*,Hungary*,Ireland,Italy,Japan,Korea,Latvia,Lithuania* **,Luxembourg*,Mexico*,Netherlands,New Zealand,Norway*,Poland*,Portugal,Slovenia,Spain,Sweden,Türkiye,United Kingdom,United States,Bulgaria*,Croatia,China*,India,South Africa
,Survey year,2006,2021/22,2013,2022,2001,2019/21,2020/21,2009/10,2022,2013/14,2010,2005,2013/2014,2021,2014,2003,2003,2013,2024,2016,2009/10,2022,2023,1999,2000/01,2009/10,2010,2014/15,2014/2015,2024,2020,2022/23,2008,1998/99,2010
,Age of reference,15 and more,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,20-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-74,15-64,15-64
1,Paid work or study,304.06,311.85,273.7,370.92,260.07,307.84,257.16,235.13,276.81,276,272.66,340.81,220.81,442,418.99,376.93,354.26,330,453.66,284.94,338,302.75,272.24,372.33,299.83,236.23,313,358.25,308.62,305.46,305.88,344.44,390,390.57,294.16
1.2,travel to and from work/study,31.11,27.59,29.2,31.71,28.71,31.47,17.2,26.33,23.38,28,33.1,25.89,26.67,48,72.38,42.55,32.8,37.93,49.32,36.24,29,21.04,26.93,32.2,28.08,24.23,33,43.52,48.83,23.29,36.6,38.41,56,44.44,44.36
1.3,time in school or classes,15.05,16.34,27.88,29.91,12.82,17.54,18.11,23.77,16.08,22,29.07,38.36,13.68,34,39.04,7.88,7.87,24.57,31.17,14.72,21,25.51,5.98,32.2,21.06,18.47,30,17.4,15.03,18.21,14.91,17.69,26,14.07,29.77
1.4,research/homework,10.03,9.78,13.32,8.97,7.13,7.73,10.98,8.18,8.49,12,10.1,..,13.11,,20.56,3.25,2.1,13.04,9.03,10.79,10,6.01,2.99,8.05,15.04,8.14,..,9.95,13.67,10.29,4.67,6.17,..,13.96,13.25
2,Unpaid work,171.6,138.51,144.17,163.92,186.14,139.19,161.99,134.94,151.64,97,162.34,126.98,130.71,47,48.99,129.73,151.61,121.08,147.36,145.42,141,159.93,189.47,96.27,166.46,145.91,171,67.59,140.08,159.1,125.76,148.97,91,51.77,102.94
2.1,routine housework,93.32,81.35,86.77,66.41,107.2,79.13,90.39,97.36,85.2,38,102.23,47.79,63.61,19,22.46,85.2,96.16,68.67,102.62,81.1,76,89.49,113.68,51.32,114.32,69.69,93,26.62,74.63,87.61,73.89,57.91,48,18.51,67.87
2.2,shopping,22.08,18.81,22.73,16.15,21.78,17.88,25.09,18.31,16.7,15,16.36,15.83,23.01,17,6.77,10.53,13.03,16.78,11.83,24.56,17,23.15,22.94,10.06,15.04,20.01,20,13.12,23.28,16.13,16.85,13.85,15,13.86,8.01
2.6,travel related to household activities,25.09,7.68,12.96,11.97,21.56,17.2,12.97,4.08,15.13,11,15.63,25.89,18.15,(see notes),7.46,18.31,18.54,17.81,6.37,14.83,22,11.62,18.95,23.82,16.04,19.32,26,12.18,17.95,22.34,15.22,13.64,12,10.03,8.17
3,Personal care,649.25,657.36,648.46,647.91,643.04,650.69,628.11,742.96,649.18,689,686.29,594.73,710.32,632,675.83,639.6,644.32,676.86,600.34,666.23,639,595.86,665.15,677.23,631.75,696.88,611,679.1,634.92,652.3,732.61,661.18,696,702.77,695.37
3.1,sleeping,512.78,513.28,505.73,523.47,479.38,519.8,499.03,509.22,508.86,501,502.86,481.88,514.3,466,471.47,510.14,500.66,514.65,470.72,496.07,522,495.84,505.6,503.14,501.39,520.09,482,511.16,504.45,538.02,535.41,500.79,540,534.4,549.07
3.2,eating & drinking,87.3,94.54,95.6,79.57,117.86,84.87,85.81,134.31,92.37,134,105.18,76.09,128.98,89,119.11,92.99,91.07,111.46,74.72,112.02,79,70.93,98.73,115.72,89.25,128.48,80,115.64,80.01,66.24,143.43,107.33,104,87.24,76.46
4,Leisure,297.03,321.98,365.17,225.54,339.54,324.78,350.29,319.13,358.04,375,308.16,337.58,366.1,284,272.45,290.48,282.2,299.04,212.84,329.59,306,367.09,281.22,289.14,336.94,347.17,338,300.95,326.52,304.91,271.27,275.61,248,282.64,334.19
