,Country,Australia*,Austria,Belgium*,Canada,Denmark,Estonia*,Finland*,France,Germany*,Greece*,Hungary*,Ireland,Italy,Japan,Korea,Latvia,Lithuania* **,Luxembourg*,Mexico*,Netherlands,New Zealand,Norway*,Poland*,Portugal,Slovenia,Spain,Sweden,Türkiye,United Kingdom,United States,Bulgaria*,Croatia,China*,India,South Africa
,Survey year,2006,2021/22,2013,2022,2001,2019/21,2020/21,2009/10,2022,2013/14,2010,2005,2013/2014,2021,2014,2003,2003,2013,2024,2016,2009/10,2022,2023,1999,2000/01,2009/10,2010,2014/15,2014/2015,2024,2020,2022/23,2008,1998/99,2010
,Age of reference,15 and more,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,20-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-74,15-64,15-64
1,Paid work or study,238.17,265.64,235.75,336.96,224.82,293.06,240.11,204.17,244.05,230,237.61,267.96,176.71,368,344.45,329.94,315.22,284.69,348.9,242.79,270,275.4,214,295.05,264.63,202,293.41,246.32,262.26,278.21,281.92,321.46,339.76,294.98,240.58
1.2,travel to and from work/study,25.02,24.33,26.36,28.73,23.05,28.67,16.54,22.93,20.68,26,28.54,22.75,21.33,40,56.88,36.53,28.83,34.83,38.21,31.03,23,20.6,20,25.17,24.97,21.43,31,30.66,39.17,19.63,33.52,33.65,46.97,32.02,36.1
1.3,time in school or classes,16.01,16.57,26.53,24.54,16.32,20.94,18.34,23.73,16.13,22,27.24,36.74,13.02,34,37.18,9.69,8.5,24.88,30.39,13.56,18,26.06,6,27.19,20.97,17.86,31.22,16.9,13.67,17.64,14.03,19.14,24.98,12.01,25.66
1.4,research/homework,11.01,10.78,14.74,13.17,8.72,9.07,13.94,10.38,8.87,14,10.93,..,14.8,,19.67,3.69,3.07,12.59,9.65,11.6,11,8.07,3,9.06,16.98,8.38,..,12.14,13.1,12.15,6.06,9.97,..,11.43,13.15
2,Unpaid work,243.17,187.97,191.82,205.29,216.63,173.66,185.55,181.1,192.35,184,229.16,209.64,219.04,125,131.71,196.07,224.47,179.16,256.03,185.56,204,185.58,248,222.55,230.68,216.73,196.5,186.09,194.53,197.12,188.97,202.91,163.89,191.15,182.28
2.1,routine housework,132.09,114.56,120.54,90.97,127.56,101.64,107.72,128.5,110.54,105,149.96,90.75,134.71,78,76.16,129.98,154.42,107.93,185.34,104.94,110,106.56,154,161.12,165.77,115.86,107.16,123.9,103.62,109.87,122.27,100.85,102.93,148.4,130.31
2.2,shopping,29.02,21.76,28.6,20.35,26.03,19.76,26.22,22.11,19.78,17,19.21,27.57,27.74,24,13.27,15.85,17.28,23.03,14.49,28.2,24,26.86,26,15.1,17.98,25.44,23.46,13.96,29.41,19.01,18.57,15.11,19.99,11.57,9.48
2.6,travel related to household activities,32.02,10.15,14.58,13.17,22.02,18.55,13.7,5.58,17.56,13,17.82,22.75,20.52,(see notes),12.82,24.19,20.05,22.13,8.55,18.34,28,11.95,21,20.14,17.98,21.73,26.24,12.27,20.39,24.92,17.33,14.51,14.99,8.29,9.28
3,Personal care,657.46,667.66,664.05,655.96,659.36,653.82,644.69,752.25,657.6,685,683.14,608.91,707.81,640,677.85,641.3,645.54,685.67,606.07,681.59,648,613.33,682,675.69,628.13,691.79,622.47,681.8,645.2,664.04,723.05,654.78,693.52,687.49,695.08
3.1,sleeping,512.36,515.83,512.86,526.68,488.61,519.01,507.46,512.97,512.1,500,505.9,491.25,513.32,462,471.35,512.29,503.07,518.17,470.42,502.78,526,504,515,505.51,501.3,515.66,482.7,514.58,508.11,541.3,532.2,492.67,541.62,528.14,553.14
3.2,eating & drinking,89.06,95.71,98.52,77.81,119.15,82.09,87.82,132.76,92.76,128,101.13,75.39,126.97,91,116.94,88.87,88.21,112.22,75.56,114.31,80,71.23,100,111.78,85.88,125.56,82.54,117.58,79.25,65.44,137.47,104.78,99.93,83.86,72.39
4,Leisure,281.2,306.87,339.35,211.27,328.84,301.15,329.81,293.54,340.88,335,281.35,312.31,323.26,269,258.26,268.84,246.61,276.39,202.83,314.76,301,353.97,261,240.67,310.57,316.05,321.48,285.73,305.53,279.86,240.97,250.57,227.84,254,305.9
