,Country,Australia*,Austria,Belgium*,Canada,Denmark,Estonia*,Finland*,France,Germany*,Greece*,Hungary*,Ireland,Italy,Japan,Korea,Latvia,Lithuania* **,Luxembourg*,Mexico*,Netherlands,New Zealand,Norway*,Poland*,Portugal,Slovenia,Spain,Sweden,Türkiye,United Kingdom,United States,Bulgaria*,Croatia,China*,India,South Africa
,Survey year,2006,2021/22,2013,2022,2001,2019/21,2020/21,2009/10,2022,2013/14,2010,2005,2013/2014,2021,2014,2003,2003,2013,2024,2016,2009/10,2022,2023,1999,2000/01,2009/10,2010,2014/15,2014/2015,2024,2020,2022/23,2008,1998/99,2010
,Age of reference,15 and more,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,20-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-74,15-64,15-64
1,Paid work or study,172,219.08,199.23,302.84,194.59,277.98,222.13,175.36,209.88,183,202.51,194.93,133.12,292,269.39,288.47,279.26,238.87,259.75,201.43,205,247.04,171.76,231.28,234.16,166.75,275.19,133.95,216.2,251.27,256.2,298.1,291,184.7,195.03
1.2,travel to and from work/study,18,21.05,23.61,25.74,18.19,25.75,15.29,19.77,17.36,22,24.16,19.6,16.05,32,41.26,31.49,25.74,31.66,28.75,25.91,18,19.8,15.98,20.11,24.02,18.56,30.02,17.75,29.57,16,30.28,28.73,38,17.7,29.08
1.3,time in school or classes,15,16.81,24.92,19.15,19.33,25.07,18.23,23.69,15.4,22,24.66,35.11,12.36,34,35.31,10.83,8.67,25.75,29.73,12.42,16,26.51,6.99,23.13,22.02,17.22,33.02,16.4,12.32,17.07,12.68,20.59,25,9.63,22.17
1.4,research/homework,11,11.78,16.22,17.36,10.1,9.98,16.16,12.42,9.27,16,12.58,..,16.47,,18.78,4.57,4.06,11.73,10.19,12.4,12,10.18,3,9.05,19.01,8.62,..,14.34,12.53,13.98,7.33,13.76,..,8.51,13.07
2,Unpaid work,311,237.8,237.32,247.18,242.81,209.37,208.75,224.03,232.62,260,293.77,292.51,306.34,208,215.01,253.25,291.95,239.62,348.52,224.95,264,212.06,292.59,328.16,286.2,289.13,220.15,305.05,248.63,234.7,256.89,257.73,234,351.94,249.59
2.1,routine housework,168,148.03,153.11,114.91,145.03,124.26,125.23,157.47,134.99,165,196.19,133.82,204.99,139,130.25,170.35,207.42,148.19,255.73,128.33,142,124.29,182.75,253.41,212.15,163.41,120.08,221.55,132.43,131.88,173.91,144.53,155,298.25,183.36
2.2,shopping,36,24.73,33.95,23.94,29.69,21.81,27.39,25.63,22.46,18,21.6,39.33,32.42,32,19.82,20.4,21.49,29.22,16.75,31.77,30,30.34,28.96,19.11,20.01,31.04,27.02,14.79,35.51,21.85,20.79,16.47,25,8.93,10.73
2.6,travel related to household activities,36,12.63,15.78,14.36,22.42,19.96,14.05,6.98,20.55,14,20.85,19.6,22.86,(see notes),18.21,27.83,21.93,28.04,10.4,21.79,34,12.35,23.97,17.43,19.01,24.2,27.02,12.35,22.81,27.47,19.66,15.47,18,6.28,10.23
3,Personal care,666,678.04,677.4,663.74,673.38,656.28,663.38,760.89,667.24,680,679.27,623.13,705.33,647,679.88,643.69,644.8,694.01,610.94,696.66,656,632,693.04,673.74,630.44,686.55,633.44,684.51,655.43,675.65,711.4,648.34,692,669.86,694.83
3.1,sleeping,514,518.4,519.25,529.68,496.53,516.81,517.59,516.47,515.78,498,508.45,500.65,512.35,457,471.23,515.45,504.02,520.19,470.16,509.35,529,513.1,520.28,507.82,504.35,511.1,483.34,518.02,511.75,544.55,527.58,484.52,544,520.92,556.6
3.2,eating & drinking,91,96.89,101.29,76.01,120.26,79.54,89.92,131.31,93.51,122,96.94,74.68,125,93,114.76,84.89,85.09,113.41,76.27,116.56,80,71.57,99.86,107.6,83.06,122.55,85.06,119.54,78.5,64.65,131.46,102.25,96,79.95,68.92
4,Leisure,269,291.65,316.71,196.91,319.61,277.31,308.54,269.74,324.46,310,256.84,286.98,280.92,254,243.97,249.25,215.3,253.02,194.32,300.22,295,339.79,245.66,199.78,283.2,284,306.21,270.45,284.68,255.1,210.48,225.08,211,220.95,281.85
