"DateTime","Кількість волонтерів"
"2022-01-01 00:00:00",320
"2022-02-01 00:00:00",323
"2022-03-01 00:00:00",332
"2022-04-01 00:00:00",379
"2022-05-01 00:00:00",429
"2022-06-01 00:00:00",500
"2022-07-01 00:00:00",570
"2022-08-01 00:00:00",636
"2022-09-01 00:00:00",734
"2022-10-01 00:00:00",852
"2022-11-01 00:00:00",1048
"2022-12-01 00:00:00",2729
"2023-01-01 00:00:00",3227
"2023-02-01 00:00:00",3668
"2023-03-01 00:00:00",4103
"2023-04-01 00:00:00",4509
"2023-05-01 00:00:00",4877
"2023-06-01 00:00:00",5217
"2023-07-01 00:00:00",5522
"2023-08-01 00:00:00",5840
"2023-09-01 00:00:00",6102
"2023-10-01 00:00:00",6352
"2023-11-01 00:00:00",6678
"2023-12-01 00:00:00",7153
"2024-01-01 00:00:00",7695
"2024-02-01 00:00:00",8084
"2024-03-01 00:00:00",8423
"2024-04-01 00:00:00",8745
"2024-05-01 00:00:00",9258
"2024-06-01 00:00:00",9540
"2024-07-01 00:00:00",9700
"2024-08-01 00:00:00",9860
"2024-09-01 00:00:00",10064
"2024-10-01 00:00:00",10310
"2024-11-01 00:00:00",10466
"2024-12-01 00:00:00",10601
"2025-01-01 00:00:00",10727
"2025-02-01 00:00:00",10850
"2025-03-01 00:00:00",10928
"2025-04-01 00:00:00",10986
"2025-05-01 00:00:00",11089
"2025-06-01 00:00:00",11225
"2025-07-01 00:00:00",11351
"2025-08-01 00:00:00",11478
"2025-09-01 00:00:00",11587
"2025-10-01 00:00:00",11690
"2025-11-01 00:00:00",11792
